symbol,tradetime,open,high,low,close,volume
GOOG,2016-10-12 18:28:00,781.47,781.57,781.4238,781.57,813
GOOG,2016-10-12 18:30:00,780.99,781.3674,780.99,781.3674,5200
GOOG,2016-10-12 18:32:00,780.7,780.9899,780.65,780.91,9850
GOOG,2016-10-12 18:34:00,781.1136,781.24,780.58,780.58,1630
GOOG,2016-10-12 18:36:00,781.58,781.58,780.93,780.93,1800
GOOG,2016-10-12 18:38:00,781.1188,781.58,781.1,781.58,1765
GOOG,2016-10-12 18:40:00,780.98,781.13,780.68,781.13,1800
GOOG,2016-10-12 18:42:00,781.5196,781.5326,781.23,781.26,1100
GOOG,2016-10-12 18:44:00,781.81,781.8299,781.5,781.66,1450
GOOG,2016-10-12 18:46:00,782.3244,782.4208,781.67,781.67,1720
GOOG,2016-10-12 18:48:00,782.51,782.85,782.35,782.51,2400
GOOG,2016-10-12 18:50:00,782.67,782.92,782.47,782.48,3400
GOOG,2016-10-12 18:52:00,782.16,782.67,781.94,782.67,3700
GOOG,2016-10-12 18:54:00,782.11,782.15,781.8,782.111,1600
GOOG,2016-10-12 18:56:00,782.57,782.57,782.06,782.27,2300
GOOG,2016-10-12 18:58:00,781.9,782.63,781.85,782.63,2900
GOOG,2016-10-12 19:00:00,781.96,782.57,781.93,782.11,1667
GOOG,2016-10-12 19:02:00,781.92,782.03,781.8,781.92,1722
GOOG,2016-10-12 19:04:00,781.95,782.22,781.9245,781.9245,2500
GOOG,2016-10-12 19:06:00,781.66,782.09,781.66,782.09,3300
GOOG,2016-10-12 19:08:00,781.3389,781.7,781.15,781.66,4300
GOOG,2016-10-12 19:10:00,782.5,782.5,781.57,781.59,4172
GOOG,2016-10-12 19:12:00,782.04,782.5,782.04,782.44,3945
GOOG,2016-10-12 19:14:00,782.39,782.6,782.02,782.02,1300
GOOG,2016-10-12 19:16:00,781.97,782.56,781.7,782.56,3481
GOOG,2016-10-12 19:18:00,781.85,782.18,781.85,782.13,895
GOOG,2016-10-12 19:20:00,782.96,782.96,781.965,782.01,4502
GOOG,2016-10-12 19:22:00,783.09,783.49,782.98,782.98,3200
GOOG,2016-10-12 19:24:00,783.16,783.5,783.07,783.07,1800
GOOG,2016-10-12 19:26:00,783.57,783.81,783.21,783.21,5474
GOOG,2016-10-12 19:28:00,783.44,783.72,783.26,783.72,5400
GOOG,2016-10-12 19:30:00,783.07,783.41,782.595,783.41,1750
GOOG,2016-10-12 19:32:00,782.43,782.91,782.43,782.91,1487
GOOG,2016-10-12 19:34:00,782.43,782.62,782.29,782.32,2200
GOOG,2016-10-12 19:36:00,782.07,782.66,782.07,782.56,5430
GOOG,2016-10-12 19:38:00,782.51,782.51,781.66,781.995,3291
GOOG,2016-10-12 19:40:00,782.49,782.53,782.25,782.38,2000
GOOG,2016-10-12 19:42:00,782.3626,783.24,782.27,782.48,2933
GOOG,2016-10-12 19:44:00,782.3,782.945,782,782.32,5273
GOOG,2016-10-12 19:46:00,782.68,782.7,782.29,782.29,9198
GOOG,2016-10-12 19:48:00,782.89,783.06,782.51,782.51,2256
GOOG,2016-10-12 19:50:00,783.32,783.9,782.81,783.02,7705
GOOG,2016-10-12 19:52:00,783.17,783.56,782.95,783.3,5532
GOOG,2016-10-12 19:54:00,783.32,783.36,783.06,783.18,4702
GOOG,2016-10-12 19:56:00,783.67,783.89,783.38,783.405,9000
GOOG,2016-10-12 19:58:00,782.84,783.7,782.71,783.678,8791
GOOG,2016-10-12 20:00:00,783.07,783.4,782.65,782.79,103933
MSFT,2016-10-12 13:30:00,58,58.02,57.85,57.89,272572
MSFT,2016-10-12 13:32:00,57.94,58.01,57.9,58,170762
MSFT,2016-10-12 13:34:00,57.89,58,57.86,57.9441,122923
MSFT,2016-10-12 13:36:00,57.91,57.99,57.88,57.895,137337
MSFT,2016-10-12 13:38:00,57.8,57.92,57.79,57.92,193291
MSFT,2016-10-12 13:40:00,57.845,57.875,57.77,57.8,171623
MSFT,2016-10-12 13:42:00,57.78,57.8755,57.78,57.85,146272
MSFT,2016-10-12 13:44:00,57.805,57.83,57.74,57.79,169237
MSFT,2016-10-12 13:46:00,57.785,57.81,57.74,57.81,150149
MSFT,2016-10-12 13:48:00,57.715,57.81,57.715,57.79,121999
MSFT,2016-10-12 13:50:00,57.72,57.77,57.705,57.71,180731
MSFT,2016-10-12 13:52:00,57.6267,57.715,57.541,57.715,321158
MSFT,2016-10-12 13:54:00,57.615,57.67,57.6,57.62,160776
MSFT,2016-10-12 13:56:00,57.6,57.615,57.55,57.615,147206
MSFT,2016-10-12 13:58:00,57.62,57.62,57.5629,57.6,103278
MSFT,2016-10-12 14:00:00,57.57,57.65,57.57,57.62,112493
MSFT,2016-10-12 14:02:00,57.62,57.62,57.5501,57.58,74319
MSFT,2016-10-12 14:04:00,57.62,57.68,57.61,57.62,133235
MSFT,2016-10-12 14:06:00,57.63,57.65,57.63,57.63,81277
MSFT,2016-10-12 14:08:00,57.7,57.7,57.62,57.64,64275
MSFT,2016-10-12 14:10:00,57.71,57.73,57.693,57.7,61220
MSFT,2016-10-12 14:12:00,57.65,57.71,57.64,57.7,89887
MSFT,2016-10-12 14:14:00,57.615,57.65,57.55,57.65,107921
MSFT,2016-10-12 14:16:00,57.615,57.635,57.605,57.62,59562
MSFT,2016-10-12 14:18:00,57.62,57.64,57.585,57.615,100979
MSFT,2016-10-12 14:20:00,57.61,57.65,57.61,57.611,93500
MSFT,2016-10-12 14:22:00,57.67,57.68,57.6,57.615,92037
MSFT,2016-10-12 14:24:00,57.62,57.675,57.62,57.675,70240
MSFT,2016-10-12 14:26:00,57.66,57.68,57.625,57.63,56202
MSFT,2016-10-12 14:28:00,57.7,57.7,57.66,57.66,52483
MSFT,2016-10-12 14:30:00,57.695,57.73,57.65,57.7,76662
MSFT,2016-10-12 14:32:00,57.69,57.715,57.68,57.695,43375
MSFT,2016-10-12 14:34:00,57.71,57.73,57.69,57.7,107257
MSFT,2016-10-12 14:36:00,57.685,57.7269,57.68,57.71,34837
MSFT,2016-10-12 14:38:00,57.66,57.69,57.655,57.689,47107
MSFT,2016-10-12 14:40:00,57.655,57.68,57.65,57.67,39934
MSFT,2016-10-12 14:42:00,57.68,57.69,57.65,57.65,74844
MSFT,2016-10-12 14:44:00,57.69,57.7,57.675,57.6864,50430
MSFT,2016-10-12 14:46:00,57.695,57.72,57.68,57.69,56166
MSFT,2016-10-12 14:48:00,57.675,57.7,57.66,57.7,59269
MSFT,2016-10-12 14:50:00,57.67,57.685,57.66,57.675,40113
MSFT,2016-10-12 14:52:00,57.595,57.675,57.59,57.675,93207
MSFT,2016-10-12 14:54:00,57.595,57.61,57.59,57.59,49645
MSFT,2016-10-12 14:56:00,57.595,57.61,57.59,57.6,46014
MSFT,2016-10-12 14:58:00,57.585,57.61,57.581,57.6,69331
MSFT,2016-10-12 15:00:00,57.515,57.585,57.5,57.58,155024
MSFT,2016-10-12 15:02:00,57.51,57.52,57.5,57.51,50225
MSFT,2016-10-12 15:04:00,57.465,57.51,57.41,57.505,157783
MSFT,2016-10-12 15:06:00,57.51,57.51,57.46,57.46,97517
MSFT,2016-10-12 15:08:00,57.47,57.51,57.455,57.5,58042
MSFT,2016-10-12 15:10:00,57.5,57.505,57.45,57.465,70466
MSFT,2016-10-12 15:12:00,57.495,57.525,57.475,57.5,50442
MSFT,2016-10-12 15:14:00,57.5,57.515,57.48,57.49,63380
MSFT,2016-10-12 15:16:00,57.465,57.5,57.445,57.5,57571
MSFT,2016-10-12 15:18:00,57.445,57.47,57.44,57.46,73856
MSFT,2016-10-12 15:20:00,57.42,57.445,57.38,57.44,157847
MSFT,2016-10-12 15:22:00,57.4,57.42,57.375,57.42,53430
MSFT,2016-10-12 15:24:00,57.345,57.41,57.34,57.4,77612
MSFT,2016-10-12 15:26:00,57.395,57.405,57.33,57.34,135413
MSFT,2016-10-12 15:28:00,57.345,57.4,57.34,57.4,95749
MSFT,2016-10-12 15:30:00,57.29,57.355,57.27,57.34,148149
MSFT,2016-10-12 15:32:00,57.36,57.37,57.285,57.285,134132
MSFT,2016-10-12 15:34:00,57.356,57.385,57.3511,57.355,54191
MSFT,2016-10-12 15:36:00,57.325,57.39,57.32,57.35,58068
MSFT,2016-10-12 15:38:00,57.33,57.35,57.3,57.325,87446
MSFT,2016-10-12 15:40:00,57.33,57.33,57.31,57.33,48177
MSFT,2016-10-12 15:42:00,57.32,57.33,57.302,57.32,65500
MSFT,2016-10-12 15:44:00,57.345,57.355,57.32,57.325,50731
MSFT,2016-10-12 15:46:00,57.31,57.3799,57.31,57.35,67340
MSFT,2016-10-12 15:48:00,57.3052,57.32,57.3,57.31,39395
MSFT,2016-10-12 15:50:00,57.285,57.31,57.26,57.305,99990
MSFT,2016-10-12 15:52:00,57.29,57.31,57.27,57.28,82394
MSFT,2016-10-12 15:54:00,57.315,57.315,57.27,57.29,59102
MSFT,2016-10-12 15:56:00,57.325,57.34,57.305,57.32,56546
MSFT,2016-10-12 15:58:00,57.34,57.34,57.28,57.33,55986
MSFT,2016-10-12 16:00:00,57.33,57.35,57.31,57.335,53900
MSFT,2016-10-12 16:02:00,57.33,57.34,57.32,57.33,41525
MSFT,2016-10-12 16:04:00,57.299,57.335,57.28,57.335,51634
MSFT,2016-10-12 16:06:00,57.29,57.31,57.28,57.29,64490
MSFT,2016-10-12 16:08:00,57.31,57.325,57.285,57.29,32980
MSFT,2016-10-12 16:10:00,57.31,57.32,57.3,57.31,28023
MSFT,2016-10-12 16:12:00,57.27,57.31,57.27,57.3,62724
MSFT,2016-10-12 16:14:00,57.33,57.35,57.28,57.28,34219
MSFT,2016-10-12 16:16:00,57.32,57.34,57.29,57.3366,62669
MSFT,2016-10-12 16:18:00,57.33,57.34,57.305,57.32,50451
MSFT,2016-10-12 16:20:00,57.3751,57.385,57.325,57.325,43005
MSFT,2016-10-12 16:22:00,57.31,57.38,57.31,57.375,55748
MSFT,2016-10-12 16:24:00,57.29,57.3264,57.29,57.31,64053
MSFT,2016-10-12 16:26:00,57.314,57.33,57.28,57.29,42455
MSFT,2016-10-12 16:28:00,57.32,57.32,57.295,57.315,46180
MSFT,2016-10-12 16:30:00,57.295,57.335,57.29,57.32,84417
MSFT,2016-10-12 16:32:00,57.27,57.3,57.27,57.295,33592
MSFT,2016-10-12 16:34:00,57.265,57.2762,57.26,57.27,37563
MSFT,2016-10-12 16:36:00,57.215,57.26,57.21,57.26,126301
MSFT,2016-10-12 16:38:00,57.16,57.22,57.16,57.22,115527
MSFT,2016-10-12 16:40:00,57.22,57.22,57.1601,57.1601,122032
MSFT,2016-10-12 16:42:00,57.275,57.3099,57.21,57.21,195205
MSFT,2016-10-12 16:44:00,57.27,57.3,57.27,57.28,79168
MSFT,2016-10-12 16:46:00,57.31,57.32,57.27,57.275,97856
MSFT,2016-10-12 16:48:00,57.335,57.36,57.3,57.32,128529
MSFT,2016-10-12 16:50:00,57.3047,57.355,57.3047,57.335,107255
MSFT,2016-10-12 16:52:00,57.3,57.31,57.28,57.31,62544
MSFT,2016-10-12 16:54:00,57.27,57.305,57.26,57.3,68349
MSFT,2016-10-12 16:56:00,57.26,57.27,57.23,57.27,58770
MSFT,2016-10-12 16:58:00,57.235,57.27,57.225,57.255,43667
MSFT,2016-10-12 17:00:00,57.255,57.27,57.23,57.23,38648
MSFT,2016-10-12 17:02:00,57.21,57.255,57.1641,57.255,85814
MSFT,2016-10-12 17:04:00,57.21,57.23,57.17,57.2,53972
MSFT,2016-10-12 17:06:00,57.205,57.22,57.18,57.21,37241
MSFT,2016-10-12 17:08:00,57.2,57.215,57.19,57.21,51707
MSFT,2016-10-12 17:10:00,57.17,57.2,57.13,57.1941,112230
MSFT,2016-10-12 17:12:00,57.16,57.18,57.13,57.17,102824
MSFT,2016-10-12 17:14:00,57.13,57.165,57.08,57.16,166975
MSFT,2016-10-12 17:16:00,57.08,57.1266,57.08,57.1266,86506
MSFT,2016-10-12 17:18:00,57.11,57.12,57.05,57.08,99607
MSFT,2016-10-12 17:20:00,57.12,57.14,57.085,57.11,72482
MSFT,2016-10-12 17:22:00,57.135,57.15,57.11,57.13,28546
MSFT,2016-10-12 17:24:00,57.1641,57.165,57.121,57.14,76946
MSFT,2016-10-12 17:26:00,57.145,57.17,57.14,57.165,47408
MSFT,2016-10-12 17:28:00,57.16,57.18,57.145,57.15,43740
MSFT,2016-10-12 17:30:00,57.14,57.18,57.14,57.1698,70501
MSFT,2016-10-12 17:32:00,57.095,57.1456,57.095,57.1456,49055
MSFT,2016-10-12 17:34:00,57.17,57.18,57.08,57.1,76515
MSFT,2016-10-12 17:36:00,57.16,57.18,57.14,57.17,78384
MSFT,2016-10-12 17:38:00,57.145,57.19,57.14,57.15,101199
MSFT,2016-10-12 17:40:00,57.135,57.15,57.115,57.15,54700
MSFT,2016-10-12 17:42:00,57.145,57.15,57.115,57.14,63965
MSFT,2016-10-12 17:44:00,57.1448,57.17,57.14,57.15,49567
MSFT,2016-10-12 17:46:00,57.07,57.15,57.07,57.14,123761
MSFT,2016-10-12 17:48:00,57.12,57.13,57.06,57.07,68904
MSFT,2016-10-12 17:50:00,57.105,57.17,57.09,57.11,351548
MSFT,2016-10-12 17:52:00,57.115,57.15,57.1,57.105,111985
MSFT,2016-10-12 17:54:00,57.125,57.145,57.1,57.115,94260
MSFT,2016-10-12 17:56:00,57.155,57.155,57.1,57.13,143626
MSFT,2016-10-12 17:58:00,57.155,57.16,57.1,57.16,242470
MSFT,2016-10-12 18:00:00,57.175,57.18,57.14,57.155,202700
MSFT,2016-10-12 18:02:00,57.17,57.19,57.15,57.175,76519
MSFT,2016-10-12 18:04:00,57.17,57.19,57.16,57.17,51152
MSFT,2016-10-12 18:06:00,57.135,57.195,57.13,57.17,81635
MSFT,2016-10-12 18:08:00,57.05,57.13,57.05,57.13,459996
MSFT,2016-10-12 18:10:00,57.065,57.09,57.045,57.05,695789
MSFT,2016-10-12 18:12:00,57.07,57.09,57.04,57.07,103688
MSFT,2016-10-12 18:14:00,57.07,57.08,57.04,57.07,101322
MSFT,2016-10-12 18:16:00,57.0227,57.09,57.02,57.08,87431
MSFT,2016-10-12 18:18:00,56.96,57.03,56.93,57.03,183341
MSFT,2016-10-12 18:20:00,56.92,56.98,56.91,56.96,149244
MSFT,2016-10-12 18:22:00,56.945,56.96,56.89,56.929,79092
MSFT,2016-10-12 18:24:00,56.97,56.9857,56.94,56.95,104400
MSFT,2016-10-12 18:26:00,56.985,57.025,56.97,56.97,99830
MSFT,2016-10-12 18:28:00,56.945,56.9886,56.93,56.985,191593
MSFT,2016-10-12 18:30:00,57,57,56.945,56.95,99915
MSFT,2016-10-12 18:32:00,56.99,57.02,56.98,57,136591
MSFT,2016-10-12 18:34:00,57.005,57.03,56.99,56.995,65503
MSFT,2016-10-12 18:36:00,57.04,57.04,57,57.01,52660
MSFT,2016-10-12 18:38:00,57.01,57.05,57.01,57.04,120835
MSFT,2016-10-12 18:40:00,57.03,57.04,56.99,57.01,138214
MSFT,2016-10-12 18:42:00,57.0499,57.06,57.01,57.04,91770
MSFT,2016-10-12 18:44:00,57.014,57.065,57.01,57.05,41625
MSFT,2016-10-12 18:46:00,57.086,57.09,57.0135,57.015,79499
MSFT,2016-10-12 18:48:00,57.1,57.12,57.075,57.085,77801
MSFT,2016-10-12 18:50:00,57.14,57.14,57.09,57.095,68367
MSFT,2016-10-12 18:52:00,57.11,57.135,57.1,57.135,74132
MSFT,2016-10-12 18:54:00,57.0799,57.12,57.06,57.1175,97536
MSFT,2016-10-12 18:56:00,57.065,57.08,57.05,57.075,50437
MSFT,2016-10-12 18:58:00,57.015,57.08,57.01,57.07,81562
MSFT,2016-10-12 19:00:00,57.025,57.06,57,57.01,77398
MSFT,2016-10-12 19:02:00,57.04,57.0499,57.01,57.02,100144
MSFT,2016-10-12 19:04:00,57.06,57.0785,57.035,57.0475,57403
MSFT,2016-10-12 19:06:00,57.05,57.07,57.03,57.065,83967
MSFT,2016-10-12 19:08:00,57.015,57.049,57.005,57.04,92258
MSFT,2016-10-12 19:10:00,57.05,57.07,57.01,57.015,62317
MSFT,2016-10-12 19:12:00,57.05,57.0701,57.04,57.055,73710
MSFT,2016-10-12 19:14:00,57.09,57.0998,57.05,57.05,93393
MSFT,2016-10-12 19:16:00,57.04,57.1,57.025,57.08,140991
MSFT,2016-10-12 19:18:00,57.0562,57.077,57.04,57.04,51445
MSFT,2016-10-12 19:20:00,57.11,57.12,57.05,57.06,358917
MSFT,2016-10-12 19:22:00,57.12,57.14,57.1,57.12,103982
MSFT,2016-10-12 19:24:00,57.135,57.135,57.1,57.12,109747
MSFT,2016-10-12 19:26:00,57.1352,57.16,57.12,57.1301,130517
MSFT,2016-10-12 19:28:00,57.1,57.135,57.1,57.1317,350331
MSFT,2016-10-12 19:30:00,57.11,57.11,57.07,57.1,97001
MSFT,2016-10-12 19:32:00,57.13,57.13,57.09,57.11,103666
MSFT,2016-10-12 19:34:00,57.18,57.19,57.12,57.125,160583
MSFT,2016-10-12 19:36:00,57.14,57.19,57.11,57.19,155887
MSFT,2016-10-12 19:38:00,57.185,57.1998,57.115,57.145,134941
MSFT,2016-10-12 19:40:00,57.175,57.19,57.15,57.185,162947
MSFT,2016-10-12 19:42:00,57.15,57.205,57.14,57.19,270708
MSFT,2016-10-12 19:44:00,57.135,57.16,57.11,57.15,144549
MSFT,2016-10-12 19:46:00,57.1575,57.1575,57.13,57.13,146510
MSFT,2016-10-12 19:48:00,57.15,57.16,57.14,57.15,151211
MSFT,2016-10-12 19:50:00,57.205,57.22,57.15,57.15,259896
MSFT,2016-10-12 19:52:00,57.19,57.21,57.17,57.21,177252
MSFT,2016-10-12 19:54:00,57.195,57.21,57.18,57.19,209688
MSFT,2016-10-12 19:56:00,57.175,57.2,57.16,57.195,261829
MSFT,2016-10-12 19:58:00,57.17,57.2,57.17,57.175,312126
MSFT,2016-10-12 20:00:00,57.19,57.23,57.155,57.175,3349845
TSLA,2016-10-12 13:30:00,201.85,201.85,201.85,201.85,28891
TSLA,2016-10-12 13:32:00,201.78,202.2,201.51,201.91,17708
TSLA,2016-10-12 13:34:00,201.066,201.91,200.84,201.91,20170
TSLA,2016-10-12 13:36:00,201.6,201.6876,200.91,200.91,17860
TSLA,2016-10-12 13:38:00,201.585,201.78,201.4,201.54,9556
TSLA,2016-10-12 13:40:00,201.7775,201.98,201.48,201.48,10462
TSLA,2016-10-12 13:42:00,201.823,202.05,201.68,201.7738,25554
TSLA,2016-10-12 13:44:00,201.88,201.9199,201.51,201.75,9230
TSLA,2016-10-12 13:46:00,201.74,201.9,201.66,201.88,16542
TSLA,2016-10-12 13:48:00,201.7,201.799,201.48,201.74,16521
TSLA,2016-10-12 13:50:00,201.5899,201.76,201.33,201.65,12830
TSLA,2016-10-12 13:52:00,200.865,201.359,200.75,201.33,23571
TSLA,2016-10-12 13:54:00,201,201.1485,200.8,200.87,7950
TSLA,2016-10-12 13:56:00,200.86,201,200.79,200.9,11060
TSLA,2016-10-12 13:58:00,201.04,201.2031,200.75,200.9055,11788
TSLA,2016-10-12 14:00:00,201.005,201.16,200.811,200.958,7933
TSLA,2016-10-12 14:02:00,201.98,202.01,200.945,200.96,41702
TSLA,2016-10-12 14:04:00,201.33,201.7655,201.2425,201.7655,8775
TSLA,2016-10-12 14:06:00,201.833,201.98,201.204,201.204,19278
TSLA,2016-10-12 14:08:00,201.762,201.88,201.54,201.7,17352
TSLA,2016-10-12 14:10:00,201.8325,202,201.79,201.79,13584
TSLA,2016-10-12 14:12:00,201.5075,201.8662,201.5,201.86,7514
TSLA,2016-10-12 14:14:00,201.33,201.51,201.155,201.4,22748
TSLA,2016-10-12 14:16:00,201.145,201.44,201.05,201.3881,9179
TSLA,2016-10-12 14:18:00,201.06,201.17,201.03,201.12,7801
TSLA,2016-10-12 14:20:00,200.965,201.1389,200.9,201.0826,8345
TSLA,2016-10-12 14:22:00,200.74,200.95,200.62,200.95,22220
TSLA,2016-10-12 14:24:00,200.4,200.8,200.2,200.8,34829
