symbol | tradetime           | close    | high     | low      | open     | volume
GOOG | 2016-10-12 15:46:00 |   785.34 |   785.57 |   785.34 |   785.34 |    700
GOOG | 2016-10-12 15:48:00 |    784.9 |   785.15 |    784.9 |    784.9 |   1698
GOOG | 2016-10-12 15:50:00 |  784.452 |   784.91 |  784.452 |   784.88 |   1950
GOOG | 2016-10-12 15:52:00 |   784.57 |    784.8 |   784.57 |    784.8 |   3200
GOOG | 2016-10-12 15:54:00 |   784.73 |   785.24 |   784.73 |   785.18 |   1800
GOOG | 2016-10-12 15:56:00 |   784.97 |   785.48 |   784.97 |   785.19 |   2400
GOOG | 2016-10-12 15:58:00 |  784.335 |      785 |  784.335 |    784.9 |   1200
GOOG | 2016-10-12 16:00:00 |  784.855 |   785.11 |  784.855 |   784.88 |   1100
GOOG | 2016-10-12 16:02:00 |   784.91 |   785.35 |   784.91 |   785.19 |   1000
GOOG | 2016-10-12 16:04:00 |   784.43 |    785.2 |   784.43 |   785.06 |   4099
GOOG | 2016-10-12 16:06:00 |   784.82 | 785.0192 |   784.82 |      785 |    729
GOOG | 2016-10-12 16:08:00 |   785.02 |   785.45 |   785.02 |   785.35 |   8768
GOOG | 2016-10-12 16:10:00 |   785.03 |   785.66 |   785.03 |   785.22 |   3200
GOOG | 2016-10-12 16:12:00 |   784.85 |   785.42 |   784.85 |   784.85 |   8083
GOOG | 2016-10-12 16:14:00 |  785.025 |   785.49 |  785.025 |  785.025 |    870
GOOG | 2016-10-12 16:16:00 |    784.8 |   785.22 |    784.8 |   785.04 |   2200
GOOG | 2016-10-12 16:18:00 |   784.99 |   785.35 |   784.99 |      785 |   2400
GOOG | 2016-10-12 16:20:00 |   785.14 |   785.72 |   785.14 | 785.3819 |   3310
GOOG | 2016-10-12 16:22:00 |   785.32 |    785.9 |   785.32 |   785.32 |    850
GOOG | 2016-10-12 16:24:00 |   785.31 |   785.65 |   785.31 |   785.45 |    900
GOOG | 2016-10-12 16:26:00 |  784.975 |   785.23 |  784.975 |   785.06 |    900
GOOG | 2016-10-12 16:28:00 |    784.5 |   785.04 |    784.5 |    784.5 |   2200
GOOG | 2016-10-12 16:30:00 | 784.7204 |   785.05 | 784.7204 |   785.05 |    400
GOOG | 2016-10-12 16:32:00 |   784.93 |   785.09 |   784.93 |   784.93 |   1000
GOOG | 2016-10-12 16:34:00 |    784.8 |    785.1 |    784.8 |    784.8 |   1800
GOOG | 2016-10-12 16:36:00 |    784.3 |   784.88 |    784.3 |    784.3 |   1650
GOOG | 2016-10-12 16:38:00 |   783.82 |   784.34 |   783.82 |      784 |   2600
GOOG | 2016-10-12 16:40:00 |   783.88 |    784.9 |   783.88 |    784.9 |   1300
GOOG | 2016-10-12 16:42:00 |   785.12 | 785.8599 |   785.12 |   785.61 |   2900
GOOG | 2016-10-12 16:44:00 |   785.17 |   785.75 |   785.17 |   785.27 |   1300
GOOG | 2016-10-12 16:46:00 | 785.2128 |   785.49 | 785.2128 | 785.3625 |   2077
GOOG | 2016-10-12 16:48:00 |   785.29 |    785.5 |   785.29 |    785.5 |   1000
GOOG | 2016-10-12 16:50:00 |   785.46 |    785.8 |   785.46 |   785.55 |   2050
GOOG | 2016-10-12 16:52:00 |    785.1 |   785.57 |    785.1 |    785.4 |   1952
GOOG | 2016-10-12 16:54:00 |   785.26 |    785.5 |   785.26 |   785.26 |    800
GOOG | 2016-10-12 16:56:00 |   785.14 |   785.33 |   785.14 |   785.14 |   1005
GOOG | 2016-10-12 16:58:00 |  784.835 |   785.15 |  784.835 |  784.835 |   5714
GOOG | 2016-10-12 17:00:00 |   785.09 | 785.1799 |   785.09 | 785.1799 |    200
GOOG | 2016-10-12 17:02:00 |    784.5 |   784.89 |    784.5 |   784.54 |    970
GOOG | 2016-10-12 17:04:00 |   784.09 |   784.52 |   784.09 |   784.09 |   3100
GOOG | 2016-10-12 17:06:00 |   783.52 | 784.2255 |   783.52 |   783.52 |   4794
GOOG | 2016-10-12 17:08:00 |   783.54 |   784.41 |   783.54 |   784.41 |   1751
GOOG | 2016-10-12 17:10:00 |    783.5 |   784.05 |    783.5 |   783.93 |   2290
GOOG | 2016-10-12 17:12:00 |   783.61 |   783.92 |   783.61 |   783.75 |   3200
GOOG | 2016-10-12 17:14:00 |   782.51 |   783.91 |   782.51 |   783.04 |   9061
GOOG | 2016-10-12 17:16:00 |   782.78 |   783.13 |   782.78 |    782.8 |   1837
