"Index","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume"
"2017-01-20",825.12,825.77,825.12,825.72,21145
"2017-01-21",825.28,826.08,825.28,825.42,9981
"2017-01-22",825.2508,825.538,825.2508,825.435,1400
"2017-01-23",825.16,825.56,825.16,825.42,4915
"2017-01-24",825.15,825.59,825.15,825.45,5850
"2017-01-25",825.2,825.652,825.2,825.47,3376
"2017-01-26",825.3101,825.56,825.3101,825.42,2614
"2017-01-27",825.3,825.7578,825.3,825.56,4460
"2017-01-28",825.38,825.72,825.38,825.52,2600
"2017-01-29",825.22,825.49,825.22,825.37,1902
"2017-01-30",825.23,825.4,825.23,825.38,1246
"2017-01-31",824.59,825.24,824.59,824.7001,14717
"2017-02-01",824.7,825.45,824.7,825.3,5581
"2017-02-02",825.33,825.98,825.33,825.96,5424
"2017-02-03",825.53,825.87,825.53,825.695,2796
"2017-02-04",825.62,825.95,825.62,825.8,7294
"2017-02-05",825.58,825.94,825.58,825.64,4950
"2017-02-06",825.5539,825.79,825.5539,825.721,2071
"2017-02-07",825.06,825.79,825.06,825.06,5052
"2017-02-08",824.6148,825.49,824.6148,825.49,6406
"2017-02-09",825.16,825.72,825.16,825.16,6880
"2017-02-10",825.2,825.58,825.2,825.35,4581
"2017-02-11",825.1212,825.529,825.1212,825.3021,5453
"2017-02-12",825.18,825.43,825.18,825.3067,3400
"2017-02-13",825.15,825.87,825.15,825.32,6421
"2017-02-14",825.15,825.85,825.15,825.85,4230
"2017-02-15",825.525,826.28,825.525,825.78,12759
"2017-02-16",825.695,825.89,825.695,825.72,3215
"2017-02-17",825.5,825.86,825.5,825.535,1750
"2017-02-18",825.53,825.93,825.53,825.66,7352
"2017-02-19",825.53,825.8699,825.53,825.8699,1100
"2017-02-20",825.35,825.81,825.35,825.68,6571
"2017-02-21",825.25,825.75,825.25,825.25,2125
"2017-02-22",825.55,825.72,825.55,825.72,721
"2017-02-23",825.15,825.595,825.15,825.15,800
"2017-02-24",824.55,825.25,824.55,824.55,3940
"2017-02-25",824.62,825.05,824.62,825.03,1870
"2017-02-26",824.93,825.21,824.93,825.15,2310
"2017-02-27",825.15,825.398,825.15,825.398,700
"2017-02-28",824.62,825.23,824.62,824.62,3000
"2017-03-01",824.62,824.85,824.62,824.625,3168
